date,mod10a1_ndsi,cell_id,latitude,longitude
2020-01-01,4148,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-02,4268,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-03,3119,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-04,3507,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-05,3317,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-06,4619,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-07,3575,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-08,2389,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-09,5195,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-10,1028,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-11,3502,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-12,4933,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-13,3838,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-14,1476,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-15,3737,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-16,2497,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-17,5139,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-18,3895,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-19,1001,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-20,396,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-21,3956,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-22,4768,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-23,3624,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-24,5360,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-25,9191,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-26,1975,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-27,6206,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-28,5723,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-29,4384,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-30,3214,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-01-31,3700,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-02-01,3702,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-02-02,5949,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-02-03,7121,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-02-04,2729,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-02-05,4887,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
2020-02-06,2869,5bafcd19-5ad9-4d9d-8c82-be99f7f88331,47.9103505,-123.7719765
