date,mod10a1_ndsi,cell_id,latitude,longitude
2020-01-01,3514,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-02,2168,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-03,1826,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-04,2587,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-05,1240,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-06,2741,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-07,1024,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-08,2446,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-09,903,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-10,984,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-11,4095,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-12,2546,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-13,1936,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-14,919,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-15,2441,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-16,388,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-17,4926,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-18,2537,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-19,1894,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-20,2196,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-21,1461,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-22,2353,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-23,252,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-24,1653,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-25,2368,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-26,1983,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-27,1535,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-28,2773,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-29,1448,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
2020-01-30,2483,61b5102a-7e0c-4b88-9199-b32f48cf4e37,37.084942,-119.145653
