date,mod10a1_ndsi,cell_id,latitude,longitude
2020-01-01,4689,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-02,3926,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-03,6826,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-04,7483,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-05,7496,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-06,8478,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-07,6533,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-08,8655,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-09,4809,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-10,7849,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-11,7474,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-12,5086,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-13,7568,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-14,6562,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-15,7282,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-16,486,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-17,6296,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-18,2586,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-19,3094,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-20,2678,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-21,1529,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-22,5403,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-23,6922,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-24,5390,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-25,5991,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-26,3072,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-27,6416,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-28,6513,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-29,7398,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-30,3058,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-01-31,6848,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-01,7379,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-02,6758,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-03,7430,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-04,7067,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-05,3280,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-06,6811,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-07,8255,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-08,6938,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-09,4726,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-10,6698,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-11,7635,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-12,8046,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-13,6716,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-14,7603,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-15,5989,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-16,8181,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-17,6811,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-18,6759,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-19,7620,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-20,6300,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-21,2833,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-22,4893,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-23,6452,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-24,6115,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-25,7397,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-26,6673,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-27,6976,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-28,6125,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-02-29,1487,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-03-01,5578,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-03-02,6332,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-03-03,7004,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-03-04,6303,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-03-05,5997,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
2020-03-06,6974,cbe93064-65f6-4091-9821-4f3caca8127c,37.35677,-118.7863265
